hotel,lead_time,arrival_date_year,arrival_date_month,weekend_nights,week_nights,adults,children,babies,is_international,days_waiting,is_repeated_guest,is_family,is_canceled,market_segment_complementary,market_segment_corporate,market_segment_direct,market_segment_groups,market_segment_offline_ta_to,market_segment_online_ta,distribution_channel_direct,distribution_channel_gds,distribution_channel_ta_to,deposit_type_non_refund,deposit_type_refundable,customer_type_group,customer_type_transient,customer_type_transient_party
1,1,2015,11,0,2,1,0,0,False,0,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False
1,83,2016,9,1,0,2,0,0,True,0,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,True,False
0,172,2016,8,2,1,2,0,0,True,0,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True
0,47,2017,5,0,2,3,0,0,True,0,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,True,False
1,77,2015,8,4,10,2,0,0,False,0,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False
0,337,2016,6,0,2,2,0,0,False,0,False,False,True,False,False,False,True,False,False,False,False,True,True,False,False,True,False
1,128,2016,12,0,1,2,0,0,False,0,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False
0,21,2016,8,1,3,2,2,0,True,0,False,True,True,False,False,False,False,False,True,False,False,True,False,False,False,True,False
0,35,2016,11,1,3,1,0,0,True,0,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False
0,2,2017,6,0,1,2,2,0,True,0,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False
0,172,2017,8,1,2,2,0,0,True,0,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False
0,1,2016,10,0,2,2,0,0,False,0,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False
1,358,2017,8,3,5,2,2,0,True,0,False,True,True,False,False,False,False,False,True,False,False,True,False,False,False,True,False
1,6,2017,1,0,1,1,0,0,False,0,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True
0,13,2017,3,0,2,1,0,0,False,0,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False
1,2,2016,10,1,0,2,0,0,True,0,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False
0,22,2017,6,0,1,2,0,0,True,0,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False
0,233,2017,5,0,3,2,0,0,True,0,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False
1,29,2016,10,2,1,2,0,0,False,0,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False
0,84,2016,9,0,3,2,0,0,True,0,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False
1,32,2017,4,0,3,2,0,0,True,0,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,True,False
0,51,2016,3,0,3,2,0,0,True,0,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False
0,37,2016,2,1,2,2,0,0,True,0,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,True,False
1,4,2015,10,0,1,1,0,0,False,0,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False
0,3,2016,12,1,2,1,0,0,True,0,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False
0,1,2016,9,0,3,1,0,0,True,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True
1,5,2017,4,2,1,2,0,0,True,0,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False
0,3,2015,12,2,7,1,0,0,False,0,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False
0,203,2016,9,1,2,2,0,0,True,0,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True
0,20,2016,12,0,1,2,0,0,True,0,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,True,False
1,0,2016,2,0,3,2,0,0,False,0,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False
0,53,2017,1,0,4,3,0,0,True,0,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,True,False
1,227,2016,8,4,10,2,0,0,True,0,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False
0,33,2017,6,1,3,2,0,0,True,0,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,True,False
1,3,2017,5,2,2,2,0,0,True,0,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False
1,29,2016,3,0,2,2,0,0,False,0,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,True,False
0,86,2016,10,1,3,2,2,0,True,0,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False
1,100,2016,2,2,5,3,0,0,True,0,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False
1,164,2016,5,2,3,2,0,0,True,0,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True
0,33,2017,2,1,0,2,0,0,False,0,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,True,False
0,9,2016,11,0,1,1,0,0,True,0,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False
1,7,2016,10,0,1,1,0,0,False,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True
0,75,2016,4,1,4,2,0,0,True,0,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True
0,0,2016,8,0,1,2,0,0,True,0,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,True,False
1,177,2017,8,2,6,2,2,0,False,0,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False
0,322,2016,5,1,3,2,0,0,False,120,False,False,True,False,False,False,False,True,False,False,False,True,True,False,False,True,False
1,0,2017,4,1,0,2,0,0,False,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False
1,37,2017,7,2,4,2,1,0,True,0,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False
0,176,2017,3,1,1,2,0,0,True,0,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False
0,12,2017,8,0,2,2,0,0,True,0,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False
0,40,2016,11,2,2,2,0,0,True,0,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False
1,1,2015,8,2,2,2,0,0,True,0,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False
1,3,2016,1,0,2,2,0,0,True,0,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False
0,40,2017,6,2,4,2,0,0,True,0,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,True,False
0,75,2016,4,2,1,2,0,0,True,0,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False
0,154,2017,7,2,1,2,0,0,True,0,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False
0,135,2017,4,2,0,2,0,0,False,0,False,False,True,False,False,False,True,False,False,False,False,True,True,False,False,True,False
1,97,2017,6,1,5,2,0,0,True,0,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False
0,5,2016,7,2,1,2,0,0,True,0,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,True,False
0,126,2017,5,2,4,1,0,0,True,0,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False
0,0,2017,3,0,4,2,0,0,True,0,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False
0,15,2017,5,0,1,2,0,0,True,0,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False
1,211,2015,9,4,10,2,0,0,True,0,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False
1,5,2016,6,2,0,1,0,0,False,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False
0,6,2015,10,0,4,1,0,0,True,0,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False
0,76,2017,1,2,4,0,2,0,True,0,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False
0,99,2017,3,1,3,3,0,0,True,0,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,True,False
0,74,2017,3,1,5,2,2,0,True,0,False,True,True,False,False,False,False,False,True,False,False,True,False,False,False,True,False
0,162,2017,7,0,2,2,0,0,True,0,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,True,False
1,29,2017,2,1,3,2,0,0,True,0,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,True,False
1,123,2016,10,2,5,2,0,0,True,0,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,True,False
1,161,2017,7,2,5,2,0,0,True,0,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False
0,6,2015,12,1,3,3,0,0,True,0,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False
0,126,2017,5,0,4,2,0,0,True,0,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False
1,58,2015,7,2,5,3,1,0,False,0,False,True,True,False,False,True,False,False,False,True,False,False,False,False,False,True,False
1,80,2015,8,3,6,2,0,0,False,0,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,True,False
1,221,2017,8,1,5,1,0,0,True,0,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,True,False
0,356,2017,7,1,3,3,0,0,True,0,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,True,False
0,42,2016,3,1,3,2,0,0,True,0,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False
0,32,2016,10,2,5,2,0,0,True,0,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False
0,214,2016,8,2,5,2,0,0,True,0,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False
0,27,2017,3,0,3,2,0,0,True,0,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,True,False
0,338,2016,10,1,2,2,0,0,True,68,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True
0,35,2016,6,2,3,2,0,0,False,0,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False
0,128,2017,6,1,2,3,0,0,True,0,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False
0,145,2017,3,0,3,2,1,0,True,0,False,True,True,False,False,False,False,False,True,False,False,True,False,False,False,True,False
0,356,2017,1,1,2,2,0,0,True,0,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,True,False
0,3,2016,2,2,2,2,0,0,True,0,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False
1,2,2016,7,0,1,2,2,0,False,0,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False
1,185,2017,7,2,2,2,0,0,True,0,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False
0,35,2016,5,2,2,2,0,0,False,0,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False
0,115,2016,4,0,2,1,0,0,False,34,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True
0,73,2016,3,1,4,2,0,0,True,0,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,True,False
1,13,2017,2,1,1,2,1,1,False,0,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False
0,203,2016,7,0,5,2,0,0,True,0,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,True,False
0,8,2015,10,2,4,2,2,0,False,0,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False
1,34,2015,11,2,8,2,0,0,False,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True
1,65,2015,11,4,10,1,0,0,True,0,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False
0,15,2016,1,0,1,1,0,0,True,0,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,True
1,115,2015,9,2,5,2,0,0,True,0,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False
0,112,2017,5,2,4,2,0,0,True,0,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,True,False
0,37,2016,6,0,1,3,0,0,False,0,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False
0,233,2016,9,1,1,2,0,0,False,0,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False
1,2,2016,1,1,3,2,0,0,False,0,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True
1,161,2016,7,2,5,2,0,0,False,0,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False
1,181,2017,4,2,6,2,0,0,True,0,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True
0,75,2017,8,0,2,2,0,0,True,0,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,True,False
0,6,2017,5,2,0,1,0,0,True,0,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False
1,10,2017,5,2,3,2,0,0,False,0,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False
1,167,2016,4,2,5,2,0,0,True,0,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False
0,62,2015,10,0,2,2,0,0,True,0,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False
1,120,2015,10,1,3,2,0,0,True,0,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False
0,24,2016,10,2,2,2,0,0,True,0,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,True,False
0,177,2017,7,1,2,2,0,0,True,0,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,True,False
0,3,2015,9,1,0,2,0,0,False,0,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False
0,19,2017,8,0,1,1,0,0,True,0,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False
0,83,2016,3,1,1,2,0,0,True,0,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False
0,183,2016,8,0,3,2,0,0,False,0,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,True
0,19,2016,11,0,2,2,0,0,False,0,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False
0,93,2016,10,2,5,2,0,1,True,0,False,True,True,False,False,False,False,False,True,False,False,True,False,False,False,True,False
0,35,2016,8,1,3,2,0,0,True,0,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False
0,30,2016,8,0,3,2,0,0,True,0,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False
1,123,2017,2,4,10,2,0,0,True,0,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,True,False
1,17,2015,12,1,0,2,0,0,True,0,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False
1,1,2017,1,1,2,1,0,0,True,0,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True
1,134,2017,8,2,6,3,0,0,True,0,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False
1,26,2017,7,2,3,2,0,0,False,0,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False
0,53,2016,3,2,5,1,0,0,True,0,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True
0,47,2016,7,2,3,3,0,0,True,0,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False
0,38,2016,10,0,3,2,0,0,True,0,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False
0,40,2016,10,1,0,3,0,0,True,0,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False
0,171,2017,7,0,2,2,0,0,True,0,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,True,False
0,88,2016,6,2,1,2,0,0,True,0,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False
0,7,2016,10,0,1,1,0,0,True,0,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True
1,2,2015,9,0,2,2,0,0,False,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False
1,29,2015,7,2,1,2,0,0,True,0,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False
0,135,2017,8,2,4,2,0,0,True,0,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False
1,43,2017,8,2,3,2,0,0,True,0,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False
1,45,2015,10,1,2,2,0,0,True,0,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False
0,236,2016,7,2,4,0,2,0,True,0,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True
0,7,2017,2,1,4,2,0,0,False,0,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False
1,19,2016,2,0,1,2,0,0,False,0,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False
0,64,2017,4,2,4,2,0,0,True,0,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False
0,112,2016,6,0,3,2,0,0,False,0,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True
0,51,2016,3,0,1,2,0,0,True,0,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,True,False
0,9,2016,9,1,0,1,0,0,False,0,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False
1,80,2015,8,2,3,2,0,0,False,0,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False
1,132,2016,5,4,5,2,0,0,True,0,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False
1,77,2017,2,2,5,2,0,0,True,0,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False
1,5,2015,12,2,0,2,0,0,False,0,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,True,False
0,230,2017,5,0,3,2,0,0,True,0,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,True,False
0,2,2016,4,1,1,2,0,0,True,0,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False
1,26,2017,4,1,0,1,0,0,True,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True
1,25,2017,2,4,10,2,0,0,True,0,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False
0,36,2017,6,0,1,1,0,0,True,0,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False
0,32,2017,6,0,1,1,0,0,True,0,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,True,False
0,2,2017,1,0,1,1,0,0,True,0,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True
0,47,2016,2,0,3,2,0,0,True,0,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False
0,151,2017,6,0,1,2,0,0,True,0,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,True,False
0,199,2017,8,0,5,1,0,0,True,0,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False
0,48,2017,3,2,2,2,0,0,True,0,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False
0,52,2016,8,2,4,3,0,0,True,0,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False
0,2,2016,10,1,1,1,0,0,True,0,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False
0,101,2017,5,2,1,2,0,0,True,0,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,True,False
0,32,2016,7,1,1,1,0,0,False,0,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True
0,17,2016,11,2,3,3,0,0,True,0,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,True,False
0,80,2016,3,2,4,2,0,0,True,0,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False
1,4,2016,1,1,0,2,0,0,False,0,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False
1,25,2016,2,0,2,2,0,0,False,0,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,True,False
0,239,2017,6,0,3,2,0,0,True,0,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False
0,43,2017,1,1,3,2,0,0,False,0,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False
0,8,2017,3,1,2,2,1,0,True,0,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False
0,43,2017,1,2,3,2,0,0,True,0,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,True,False
0,5,2015,9,0,3,2,0,0,False,0,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False
0,5,2017,5,0,2,1,0,0,True,0,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False
0,0,2017,2,0,1,1,0,0,False,0,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False
1,57,2015,8,2,5,2,0,0,True,0,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False
0,90,2017,4,1,4,3,0,0,True,0,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False
0,21,2016,8,2,2,2,0,0,True,0,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False
1,12,2016,8,0,2,2,0,0,False,0,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,True,False
1,73,2016,12,2,2,2,0,0,False,0,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True
1,59,2017,4,2,4,2,0,0,False,0,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False
0,134,2017,6,0,3,2,0,0,True,0,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,True,False
0,2,2017,7,1,0,3,0,0,True,0,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False
0,191,2016,8,1,2,2,0,0,True,0,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,True,False
1,62,2017,6,0,2,2,0,0,True,0,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False
0,44,2016,6,0,3,2,2,0,True,0,False,True,True,False,False,False,False,False,True,False,False,True,False,False,False,True,False
1,4,2015,11,2,1,2,0,0,True,0,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False
0,6,2015,8,0,1,1,0,0,False,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False
0,45,2016,3,1,1,2,0,0,True,0,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,True,False
1,143,2017,8,2,5,2,0,0,False,0,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,True,False
0,8,2016,8,2,1,2,0,0,True,0,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,True,False
1,122,2017,6,2,4,2,1,0,False,0,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False
1,35,2016,10,1,1,2,0,0,True,0,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,True,False
1,141,2017,1,1,3,2,0,0,True,0,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False
0,7,2016,8,0,2,2,0,0,False,0,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True
0,34,2016,2,0,2,2,0,0,False,0,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,True,False
0,102,2016,7,2,6,2,0,0,True,0,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False
0,33,2015,10,0,4,2,2,0,False,0,False,True,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False
1,10,2016,7,1,3,2,0,0,True,0,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False
0,102,2016,5,2,1,2,0,0,False,0,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,True
1,39,2016,10,1,0,1,0,0,True,0,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False
1,100,2016,7,2,5,2,0,0,True,0,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,True,False
0,22,2016,5,1,0,2,0,0,False,0,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False
0,295,2015,8,2,1,2,0,0,False,0,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True
1,138,2016,10,2,7,3,1,0,True,0,False,True,True,False,False,False,False,False,True,False,False,True,False,False,False,True,False
1,0,2017,6,0,1,2,0,0,False,0,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False
1,10,2016,3,2,1,2,0,0,True,0,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False
0,118,2017,8,1,1,1,0,0,True,0,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True
0,116,2016,5,1,3,2,0,0,True,0,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False
0,84,2017,4,0,3,2,0,0,True,0,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False
0,4,2016,9,1,3,2,0,0,True,0,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False
1,266,2016,6,1,2,2,0,0,False,0,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False
0,124,2016,6,0,2,2,0,0,False,0,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True
0,74,2015,10,2,2,2,0,0,True,0,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False
1,5,2016,5,1,1,2,2,0,True,0,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False
